movie_id,title,rank,title_ko,title_en,year,open_date_detail,rating,runtime_min,audience_total,genres,country,directors,num_directors,cast_main,num_cast_main,cine21_score_detail,netizen_score
62649,파이브 데이즈,117,파이브 데이즈,,2023,2025-09-30,15세이상관람가,119.0,24.0,"범죄, 스릴러",중국,장모,1,"장소비, 리홍치, 혜영홍",3,,
62485,브레드이발소: 베이커리타운의 악당들,118,브레드이발소: 베이커리타운의 악당들,,2025,2025-09-27,전체 관람가,70.0,282222.0,애니메이션,한국,정지환,1,"엄상현, 박윤희, 강시현",3,6.0,
62513,바다 탐험대 옥토넛 어보브 앤 비욘드: 콰지의 깜짝 어드벤처,119,바다 탐험대 옥토넛 어보브 앤 비욘드: 콰지의 깜짝 어드벤처,,2025,2025-09-27,전체 관람가,59.0,40236.0,애니메이션,,패트리스 베루베,1,"하성용, 정재헌, 엄상현",3,,
62543,애프터매스: 브릿지,120,애프터매스: 브릿지,,2024,2025-09-25,15세이상관람가,97.0,551.0,액션,미국,패트릭 루시에,1,"딜런 스프라우스, 메이슨 구딩, 디첸 라크맨",3,,
62560,마다가스카르 뮤직,121,마다가스카르 뮤직,,2023,2025-09-25,전체 관람가,78.0,706.0,다큐멘터리,한국,정초신,1,"장태화, 신미식",2,6.0,9.0
62501,리 밀러: 카메라를 든 여자,122,리 밀러: 카메라를 든 여자,,2023,2025-09-24,15세이상관람가,117.0,10662.0,드라마,영국,엘렌 쿠라스,1,"케이트 윈슬렛, 알렉산더 스카스가드, 마리옹 꼬띠아르",3,6.0,8.0
61626,파르테노페,123,파르테노페,,2023,2025-09-24,청소년 관람불가,137.0,8948.0,"멜로·로맨스, 드라마",이탈리아,파올로 소렌티노,1,"셀레스트 달라 포르타, 게리 올드만, 실비오 올랜도",3,6.0,
61709,어쩔수가없다,124,어쩔수가없다,,2024,2025-09-24,15세이상관람가,138.0,2941183.0,"코미디, 스릴러",한국,박찬욱,1,"이병헌, 손예진, 박희순",3,7.17,7.77
62498,극장판 체인소 맨: 레제편,125,극장판 체인소 맨: 레제편,,2025,2025-09-24,15세이상관람가,100.0,3293411.0,애니메이션,일본,요시하라 타츠야,1,,0,8.0,8.38
61920,홍이,126,홍이,,2024,2025-09-24,12세이상관람가,86.0,5434.0,드라마,한국,황슬기,1,"장선, 변중희, 이유경",3,6.67,
62121,결혼 피로연,127,결혼 피로연,,2024,2025-09-24,15세이상관람가,103.0,7198.0,"코미디, 멜로·로맨스",미국,앤드류 안,1,"윤여정, 한기찬, 보웬 양",3,5.5,10.0
62529,#진상을 말씀드립니다,128,#진상을 말씀드립니다,,2025,2025-09-24,15세이상관람가,117.0,7002.0,"스릴러, 미스터리, 드라마",일본,도요시마 케이스케,1,"오모리 모토키, 키쿠치 후마, 이토 켄타로",3,5.0,
62633,마이다스 맨: 전설의 시작,129,마이다스 맨: 전설의 시작,,2024,2025-09-24,15세이상관람가,112.0,160.0,드라마,영국,조 스티븐슨,1,"제이컵 포춘 로이드, 에밀리 왓슨",2,,
62509,포풍추영,130,포풍추영,,2025,2025-09-20,15세이상관람가,142.0,24813.0,"액션, 범죄","홍콩,중국",래리 양,1,"성룡, 양가휘, 문준휘",3,5.33,7.0
62530,명탐정 코난: 17년 전의 진상,131,명탐정 코난: 17년 전의 진상,,2025,2025-09-19,,,89628.0,애니메이션,일본,"야마모토 야스이치로, 카마나카 노부하루",2,"타카야마 미나미, 키시노 유키마사, 치바 시게루",3,,
6764,피크닉,132,피크닉,,1996,2025-09-17,15세이상관람가,72.0,9912.0,드라마,일본,이와이 슌지,1,"차라, 아사노 타다노부, 하시즈메 고이치",3,6.0,8.44
8837,"프란체스코, 신의 어릿광대",133,"프란체스코, 신의 어릿광대",,1950,2025-09-17,12세이상관람가,86.0,386.0,드라마,이탈리아,로베르토 로셀리니,1,"알도 파브리지, 아라벨라 레마이트레",2,8.0,6.67
15344,린다 린다 린다,134,린다 린다 린다,,2005,2025-09-17,12세이상관람가,114.0,37181.0,"코미디, 드라마",일본,야마시타 노부히로,1,"배두나, 마에다 아키, 가시이 유우",3,6.0,7.48
62494,더 로즈: 완벽한 이혼,135,더 로즈: 완벽한 이혼,,2025,2025-09-17,15세이상관람가,105.0,18674.0,"코미디, 드라마","영국,미국",제이 로치,1,"올리비아 콜맨, 베네딕트 컴버배치, 케이트 맥키넌",3,6.0,6.0
